,2017,2018,2019
Alleghany + Covington,38146,39628,40928
Augusta Staunton + Waynesboro,42815,44336,45658
Campbell + Lynchburg,36529,37826,38565
Carroll + Galax,34721,35843,36812
Dinwiddie Colonial Heights + Petersburg,39401,40150,41337
Fairfax Fairfax City + Falls Church,79068,83747,86141
Frederick + Winchester,49051,50774,52317
Greensville + Emporia,31233,31905,33144
Henry + Martinsville,37827,39258,40545
James City + Williamsburg,63359,64466,66306
Montgomery + Radford,36125,37730,38756
Pittsylvania + Danville,36750,38212,39392
Prince George + Hopewell,37629,38478,39359
Prince William Manassas Manassas Park,52722,54668,56366
Roanoke Salem,50460,52120,53489
Rockbridge Buena Vista  Lexington,39045,39978,41794
Rockingham + Harrisonburg,38828,40328,41312
Southampton + Franklin,40584,41734,44215
Spotsylvania + Fredericksburg,48951,50627,52157
Washington + Bristol,39527,40773,41513
Wise + Norton,31532,32799,34196
York + Poquoson,56729,59345,61308
,,,
Washington,58437,62209,64758
Adams,39564,41569,43429
Asotin,45325,46917,48456
Benton,46076,47682,49354
Chelan,52180,54584,56253
Clallam,44050,46281,47856
Clark,50726,54542,56401
Columbia,46692,48730,51660
Cowlitz,42904,44923,46503
Douglas,39865,40582,41725
Ferry,36010,36369,37311
Franklin,36298,37836,39526
Garfield,46108,48671,54352
Grant,39031,39731,41141
Grays Harbor,38778,40566,41928
Island,52460,54578,56977
Jefferson,50094,53631,55447
King,84598,91161,94974
Kitsap,52819,56297,58874
Kittitas,40844,42117,43562
Klickitat,46780,48883,49458
Lewis,40483,42695,44569
Lincoln,43230,45374,47282
Mason,40617,42124,43966
Okanogan,41486,42473,43295
Pacific,39993,41685,42603
Pend Oreille,39914,42747,44461
Pierce,48832,51192,53572
San Juan,73075,81024,81351
Skagit,49436,52072,54505
Skamania,43471,46011,47461
Snohomish,52349,55982,58729
Spokane,44483,46906,48436
Stevens,37583,39469,40863
Thurston,48569,50469,52828
Wahkiakum,41134,43144,44522
Walla Walla,43979,46429,48444
Whatcom,46452,49464,50915
Whitman,37754,41596,42665
Yakima,41752,43905,45757
,,,
West Virginia,38927,41192,42315
Barbour,30543,32519,33599
Berkeley,39757,41236,42473
Boone,32142,34859,35615
Braxton,30319,31885,32816
Brooke,39996,42362,43882
Cabell,40467,43250,44177
Calhoun,28635,30173,31229
Clay,29486,31313,32197
Doddridge,26850,29200,30173
Fayette,33050,34817,36424
Gilmer,27777,28799,29672
Grant,36424,35610,36862
Greenbrier,36499,37910,38842
Hampshire,33865,34804,36093
Hancock,40271,42504,43823
Hardy,33754,34028,34417
Harrison,45314,48907,49793
Jackson,35532,38519,39254
Jefferson,47948,49924,51527
Kanawha,45703,48357,49553
Lewis,36868,40845,41728
Lincoln,28979,31028,31997
Logan,35037,37148,38147
McDowell,29686,30651,32294
Marion,40725,42388,43522
Marshall,38375,42447,42595
Mason,32010,33427,34833
Mercer,36024,37703,38778
Mineral,37455,39156,40518
Mingo,30823,32466,33553
Monongalia,43198,45490,46630
Monroe,30099,30919,32189
Morgan,33366,34256,35536
Nicholas,32132,34024,34792
Ohio,61380,64115,64461
Pendleton,35985,36048,36491
Pleasants,41339,43385,43929
Pocahontas,36972,38365,40243
Preston,34659,36117,37595
Putnam,44204,46782,47849
Raleigh,39053,41917,43846
Randolph,35251,36825,38142
Ritchie,35446,38230,39828
Roane,33179,35621,36608
Summers,32206,33616,34933
Taylor,38290,40674,41663
Tucker,40473,41856,43069
Tyler,35737,38387,39863
Upshur,31360,33366,35420
Wayne,31844,33831,34811
Webster,27285,28223,29348
Wetzel,33432,37293,36874
Wirt,30101,31979,32680
Wood,39816,44044,44754
Wyoming,29220,30999,31315
,,,
Wisconsin,49264,51628,53227
Adams,37841,38816,40841
Ashland,38924,40345,42007
Barron,46666,49452,50166
Bayfield,45748,49079,50750
Brown,50119,52803,54090
Buffalo,43644,45957,47630
Burnett,41465,43548,45023
Calumet,48839,51013,52859
Chippewa,43906,46156,47507
Clark,39105,41119,43135
Columbia,48747,51112,53423
Crawford,40622,41619,43124
Dane,58317,61577,64071
Dodge,42800,44452,46099
Door,60328,62803,64249
Douglas,41118,43228,44941
Dunn,38390,39909,41208
Eau Claire,45938,48487,49851
Florence,51091,52455,53310
Fond du Lac,46055,48311,49949
Forest,39514,40984,42663
Grant,41651,43575,45392
Green,49065,51157,53782
Green Lake,44310,45128,46260
Iowa,45759,47826,50309
Iron,48868,49327,50249
Jackson,44077,46042,46296
Jefferson,44017,45786,47152
Juneau,36774,38186,39218
Kenosha,44825,47121,48596
Kewaunee,45225,46838,49539
La Crosse,47872,50257,51813
Lafayette,41142,42872,45339
Langlade,42104,43204,44923
Lincoln,43870,45644,47135
Manitowoc,45810,47040,48502
Marathon,47984,50509,52141
Marinette,42105,44564,45906
Marquette,39304,40739,42513
Menominee,29384,30175,30977
Milwaukee,45356,47910,49098
Monroe,40659,41475,42974
Oconto,43623,45589,47104
Oneida,49315,50772,52014
Outagamie,49281,51050,52640
Ozaukee,79706,83621,85492
Pepin,46719,48166,49793
Pierce,44462,45799,47114
Polk,45050,46376,47856
Portage,43838,45492,47278
Price,44043,45801,47086
Racine,47418,49710,50845
Richland,40931,42917,44803
Rock,42212,44295,46236
Rusk,42662,44233,44556
St. Croix,53774,55970,57328
Sauk,46375,48828,51115
Sawyer,43913,45197,47360
Shawano,41024,42349,44196
Sheboygan,50830,53263,54703
Taylor,38707,39623,41858
Trempealeau,42735,44606,45218
Vernon,39076,40936,42578
Vilas,51771,53679,54734
Walworth,47789,49821,51196
Washburn,45700,47335,49456
Washington,55807,58343,59979
Waukesha,68972,72176,73873
Waupaca,43715,45538,47035
Waushara,38997,40724,42544
Winnebago,46047,47974,49276
Wood,44852,46388,48046
,,,
Wyoming,56524,60689,62189
Albany,39289,41226,42698
Big Horn,36208,38198,39318
Campbell,49894,53564,55348
Carbon,53502,57459,59665
Converse,50448,56556,63736
Crook,44414,47027,47966
Fremont,42096,45535,47071
Goshen,40138,42791,43725
Hot Springs,49025,54424,57101
Johnson,48600,53839,54476
Laramie,49695,52655,54113
Lincoln,39783,42646,44331
Natrona,62752,71324,72187
Niobrara,47765,51653,52484
Park,51731,57494,58386
Platte,47153,50083,52624
Sheridan,54536,58622,59666
Sublette,50360,55337,54850
Sweetwater,50741,55352,57225
Teton,227436,230141,229825
Uinta,38386,40425,41912
Washakie,45184,49310,50735
Weston,42483,44940,46655
